[2025-06-18 21:08:54] [INFO    ] discord.client: logging in using static token
[2025-06-18 21:08:54] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-06-18 21:08:54] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-06-18 21:08:54] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1384614929071345816', 'username': 'klutch', 'avatar': '73a9bf3c9c1905c024f43d7b9de899a9', 'discriminator': '1444', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-06-18 21:08:54] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-06-18 21:08:54] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-06-18 21:08:54] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1384614929071345816', 'name': 'Bryan', 'icon': None, 'description': '🛠 **Command Prefix:** `*`\n📖 **To view available commands:** Use `*help`', 'type': None, 'bot': {'id': '1384614929071345816', 'username': 'klutch', 'avatar': '73a9bf3c9c1905c024f43d7b9de899a9', 'discriminator': '1444', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': 'bf896b4f7887f008bd5e25de59ba14d1f71a03e708539935283eb2b6ec730d0d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '900582043010867260', 'username': 'd_uh_', 'avatar': '89a81d6327e7d611d81311a5a0e606aa', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 2040099, 'global_name': 'klutch', 'avatar_decoration_data': {'asset': 'a_2ac2ff720c831e70518622800c24be86', 'sku_id': '1383136910435811430', 'expires_at': 1755903600}, 'collectibles': None, 'banner_color': '#1f2123', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 228, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': []}
[2025-06-18 21:08:55] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-06-18 21:08:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-us-east1-d-58bp",{"micros":0.0}]']}}
[2025-06-18 21:08:55] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-06-18 21:08:55] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
